title,imdbid,year,rating,binary,Country,Plot,Production,Rated,Genre,Writer,Director,imdbRating
Lord of the Flies,tt0057261,1963,0,0,UK,"Lost on an island, young survivors of a plane crash eventually revert to savagery despite the few rational boys' attempts to prevent that.",Criterion Collection,NOT RATED,"Adventure, Drama, Thriller",William Golding (novel),Peter Brook,7.0
Winter Light,tt0057358,1963,1,0,Sweden,A small town priest struggles with his faith.,Criterion Collection,NOT RATED,Drama,Ingmar Bergman,Ingmar Bergman,8.1
"Incredible Journey, The",tt0057180,1963,1,0,"Canada, USA","The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?",Walt Disney Productions,G,"Adventure, Drama, Family","James Algar (screenplay), Sheila Burnford (book)",Fletcher Markle,7.1
Summer Holiday,tt0057541,1963,3,1,UK,"A fabulous 60s Musical - 4 London Bus mechanics strike up a deal with London Transport. They do up a double decker London Bus, drive it around Europe as a hotel and if they make it they ...",American International Pictures,APPROVED,"Comedy, Musical","Peter Myers (original story and screenplay), Ronald Cass (original story and screenplay)",Peter Yates,6.1
8&frac12;,tt0056801,1963,3,1,"Italy, France",A harried movie director retreats into his memories and fantasies.,Cinerez,NOT RATED,Drama,"Federico Fellini (story), Ennio Flaiano (story), Federico Fellini (screenplay), Tullio Pinelli (screenplay), Ennio Flaiano (screenplay), Brunello Rondi (screenplay)",Federico Fellini,8.1
Sanjuro,tt0056443,1963,3,1,Japan,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Criterion Collection,NOT RATED,"Action, Crime, Drama","Ryûzô Kikushima (screenplay), Hideo Oguni (screenplay), Akira Kurosawa (screenplay), Shûgorô Yamamoto (novel)",Akira Kurosawa,8.2
"Raven, The",tt0057449,1963,1,0,USA,"A magician, who has been turned into a raven, turns to a former sorcerer for help.",American International Picture,G,"Comedy, Fantasy, Horror","Richard Matheson (screenplay), Edgar Allan Poe (poem)",Roger Corman,6.7
Carry on Cabby,tt0056912,1963,3,1,UK,"Speedee Taxis is a great success, which means its workaholic owner Charlie starts neglecting Peggy, his wife. Suddenly a fleet of rival taxis appears from nowhere and start pinching all the...",Warner Bros.,N/A,"Adventure, Comedy, Romance","Talbot Rothwell (screenplay), Sidney Green (original story), Richard Hills (original story)",Gerald Thomas,6.4
Contempt,tt0057345,1963,1,0,"France, Italy",Screenwriter Paul Javal's marriage to his wife Camille disintegrates during movie production as she spends time with the producer. Layered conflicts between art and business ensue.,Rialto Pictures,NOT RATED,Drama,Alberto Moravia (novel),Jean-Luc Godard,7.7
55 Days at Peking,tt0056800,1963,1,0,USA,"During the 1900 Boxer Rebellion against foreigners in China, U.S. Marine Major Matt Lewis, aided by British Consul Sir Arthur Robertson, devises a strategy to keep the rebels at bay until an international military relief force arrives.",Allied Artists,UNRATED,"Action, Adventure, Drama, History, War","Robert Hamer (additional dialogue), Philip Yordan (screenplay), Bernard Gordon (screenplay)","Nicholas Ray, Guy Green",6.8
"Bakery Girl of Monceau, The",tt0056884,1963,1,0,France,A law student regularly visits a Paris bakery to flirt with a brunette employee.,Criterion Collection,NOT RATED,"Romance, Short",N/A,Éric Rohmer,7.5
"Sword in the Stone, The",tt0057546,1963,0,0,USA,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",Buena Vista Pictures,G,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Bill Peet (story), T.H. White (based on the book by)",Wolfgang Reitherman,7.2
X: The Man with the X-Ray Eyes,tt0057693,1963,1,0,USA,"A doctor uses special eye drops to give himself x-ray vision, but the new power has disastrous consequences.",Orion Home Video,NOT RATED,"Horror, Sci-Fi, Thriller","Robert Dillon (screenplay), Ray Russell (screenplay), Ray Russell (story)",Roger Corman,6.7
El verdugo,tt0057643,1963,1,0,"Spain, Italy","An undertaker gets married to an old executioner's daughter and, although he doesn't like it, must continue the profession of his father-in-law after his retirement.",Zebra Films,NOT RATED,"Drama, Comedy","Luis García Berlanga (story), Rafael Azcona (story), Luis García Berlanga (screenplay), Rafael Azcona (screenplay), Ennio Flaiano (screenplay collaboration)",Luis García Berlanga,8.1
"Silence, The",tt0057611,1963,3,1,Sweden,"Two estranged sisters, Ester and Anna, and Anna's 10-year-old son travel to the Central European country on the verge of war. Ester becomes seriously ill and the three of them move into a hotel in a small town called Timoka.",Criterion Collection,R,Drama,Ingmar Bergman,Ingmar Bergman,8.0
From Russia with Love,tt0057076,1963,3,1,"UK, USA",James Bond willingly falls into an assassination ploy involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by SPECTRE.,United Artists,PG,"Action, Adventure, Thriller","Richard Maibaum (screenplay), Johanna Harwood (adaptation)",Terence Young,7.5
Shock Corridor,tt0057495,1963,0,0,USA,"Bent on winning a Pulitzer Prize, a journalist commits himself to a mental institution to solve a strange and unclear murder.",Criterion Collection,NOT RATED,"Drama, Mystery",Samuel Fuller,Samuel Fuller,7.5
"Kiss of the Vampire, The",tt0057226,1963,2,0,UK,"When car trouble strands a honeymooning couple in a small Southern European village, an aristocratic family in the area reaches out to help them with sinister consequences.",Universal,UNRATED,Horror,Anthony Hinds (screenplay),Don Sharp,6.4
Summer Magic,tt0057542,1963,3,1,USA,A Bostonian widow moves with her kids to the country.,Walt Disney Productions,APPROVED,"Comedy, Family, Musical","Sally Benson (screenplay), Kate Douglas Wiggin (book)",James Neilson,7.1
Dementia 13,tt0056983,1963,3,1,"USA, Ireland","A scheming widow hatches a daring plan to get her hands on her late husband's inheritance, unbeknownst to her that she is targeted by an axe-wielding murderer who lurks within the family's estate.",Madacy Home Video,UNRATED,"Horror, Thriller","Francis Ford Coppola, Jack Hill (second unit written by)",Francis Ford Coppola,5.7
Bye Bye Birdie,tt0056891,1963,3,1,USA,"A rock singer travels to a small Ohio town to make his ""farewell"" television performance and kiss his biggest fan before he is drafted.",Columbia Pictures,APPROVED,"Comedy, Musical","Michael Stewart (book), Irving Brecher (screen play)",George Sidney,6.6
Charade,tt0056923,1963,2,0,USA,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Madacy Entertainment,NOT RATED,"Comedy, Mystery, Romance","Peter Stone (screenplay), Peter Stone (story), Marc Behm (story)",Stanley Donen,8.0
"Haunting, The",tt0057129,1963,3,1,"UK, USA",A scientist doing research on the paranormal invites two women to a haunted mansion. One of the participants soon starts losing her mind.,Paramount Pictures,G,Horror,"Nelson Gidding (screenplay), Shirley Jackson (based on the novel: ""The Haunting of Hill House"")",Robert Wise,7.6
Irma la Douce,tt0057187,1963,2,0,USA,"In Paris, a former policeman falls in love with a prostitute, and tries to get her out of that life by paying for all of her time.",United Artists,NOT RATED,"Comedy, Romance","Alexandre Breffort (play), Billy Wilder, I.A.L. Diamond",Billy Wilder,7.4
Suzanne&#39;s Career,tt0056910,1963,3,1,France,The friendship of Bertrand and Guillaume is complicated when the womanizing Guillaume begins to pursue a charming girl named Suzanne.,Criterion Collection,NOT RATED,"Drama, Romance",Éric Rohmer,Éric Rohmer,7.2
Atragon,tt0057215,1963,0,0,Japan,"When an ancient underground civilization and their snake-like guardian plots to reclaim the surface world, those of the surface fights back.",N/A,TV-Y7,"Adventure, Family, Sci-Fi","Shin'ichi Sekizawa (screenplay), Shunrô Oshikawa (novel), Shigeru Komatsuzaki (novel)",Ishirô Honda,6.1
"Guest, The",tt0058164,1963,0,0,UK,"Aston (Robert Shaw), a quiet, reserved man, lives alone in a top-floor cluttered room of a small abandoned house in a poor London district. He befriends and takes in Mac Davies (Donald ...",N/A,N/A,Drama,Harold Pinter (play),Clive Donner,7.3
Khaneh siah ast (The House is Black),tt0336693,1963,0,0,Iran,"Set in a leper colony in the north of Iran, The House is Black juxtaposes ""ugliness"", of which there is much in the world as stated in the opening scenes, with religion and gratitude.",N/A,N/A,"Documentary, Short",Forugh Farrokhzad,Forugh Farrokhzad,8.0
Beach Party,tt0056860,1963,2,0,USA,"""Beach Party"" was the first of of a series of seven related AIP beach party films. The others are Muscle Beach Party, Bikini Beach, Pajama Party, Beach Blanket Bingo, How to Stuff a Wild Bikini and The Ghost in the Invisible Bikini.",MGM,NOT RATED,"Comedy, Musical, Romance",Lou Rusoff,William Asher,5.8
Tom Jones,tt0057590,1963,3,1,UK,The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th century England.,Woodfall Film Productions,NOT RATED,"Adventure, Comedy, History","John Osborne (screenplay), Henry Fielding (based on the novel by)",Tony Richardson,6.7
"Birds, The",tt0056869,1963,3,1,USA,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Universal Pictures,PASSED,"Drama, Horror, Mystery, Romance","Daphne Du Maurier (from the story by), Evan Hunter (screenplay by)",Alfred Hitchcock,7.7
"Servant, The",tt0057490,1963,3,1,UK,An upper-class man hires a servant who turns out to have a hidden agenda.,Rialto Pictures,UNRATED,Drama,"Harold Pinter (screenplay), Robin Maugham (novel)",Joseph Losey,7.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1964,0,0,"USA, UK",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Sony Pictures,PG,Comedy,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)",Stanley Kubrick,8.4
Zulu,tt0058777,1964,0,0,UK,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Paramount Pictures,NOT RATED,"Drama, History, War","John Prebble (original screenplay), Cy Endfield (original screenplay), John Prebble (suggested by an article written by)",Cy Endfield,7.8
"Hush...Hush, Sweet Charlotte",tt0058213,1964,3,1,USA,"An aging, reclusive Southern belle plagued by a horrifying family secret descends into madness after the arrival of a lost relative.",Fox,APPROVED,"Crime, Drama, Mystery","Henry Farrell (screenplay), Lukas Heller (screenplay), Henry Farrell (story)",Robert Aldrich,7.7
Woman in the Dunes,tt0058625,1964,0,0,Japan,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,Criterion Collection,NOT RATED,"Drama, Thriller","Kôbô Abe (novel), Kôbô Abe (screenplay), Eiko Yoshida (scripter)",Hiroshi Teshigahara,8.5
"Train, The",tt0059825,1964,1,0,"France, Italy, USA","In 1944, a German colonel loads a train with French art treasures to send to Germany. The Resistance must stop it without damaging the cargo.",United Artists,NOT RATED,"Thriller, War","Franklin Coen (screen story), Frank Davis (screen story), Franklin Coen (screenplay), Frank Davis (screenplay), Rose Valland (based upon ""Le Front De L'Art"" by)","John Frankenheimer, Arthur Penn",7.9
Goldfinger,tt0058150,1964,1,0,"UK, USA","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",United Artists,PG,"Action, Adventure, Thriller","Richard Maibaum (screenplay), Paul Dehn (screenplay)",Guy Hamilton,7.7
Seduced and abandoned,tt0058564,1964,3,1,"Italy, France","Agnese, a 15-year-old Sicilian girl is seduced and impregnated by Peppino, her sister Matilde's fiancé. Soon Vincenzo, Agnese's father, discovers everything. He wants to force Peppino to ...",Criterion Collection,NOT RATED,"Comedy, Drama","Pietro Germi (story), Luciano Vincenzoni (story), Agenore Incrocci (screenplay), Furio Scarpelli (screenplay), Pietro Germi (screenplay), Luciano Vincenzoni (screenplay)",Pietro Germi,8.0
My Fair Lady,tt0058385,1964,3,1,USA,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,Warner Bros. Pictures,G,"Drama, Family, Musical, Romance","Alan Jay Lerner (book), George Bernard Shaw (from a play by), Alan Jay Lerner (screenplay)",George Cukor,7.9
Per un pugno di dollari (A Fisful of Dollars),tt0058461,1964,1,0,"Italy, Spain, West Germany","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",MGM Home Entertainment,R,Western,"Adriano Bolzoni (story), Mark Lowell (dialogue), Víctor Andrés Catena (story), Sergio Leone (story), Víctor Andrés Catena (screenplay), Jaime Comas Gil (screenplay), Sergio Leone (screenplay)",Sergio Leone,8.0
Mary Poppins,tt0058331,1964,3,1,USA,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Walt Disney Productions,G,"Comedy, Family, Fantasy, Musical","Bill Walsh (screenplay), Don DaGradi (screenplay), P.L. Travers (based on: The ""Mary Poppins"" books by)",Robert Stevenson,7.8
"Umbrellas of Cherbourg, The",tt0058450,1964,3,1,"France, West Germany",A young woman separated from her lover by war faces a life-altering decision.,Zeitgeist Films,NOT RATED,"Drama, Musical, Romance",Jacques Demy (scenario and dialogue),Jacques Demy,7.9
"Unsinkable Molly Brown, The",tt0058708,1964,3,1,USA,"A poor, uneducated mountain girl leaves her cabin in search of respect, a wealthy husband, and a better life in this fictionalized biopic of Margaret ""Molly"" Brown, who survived the 1912 sinking of the RMS Titanic.",MGM Home Entertainment,APPROVED,"Biography, Comedy, Musical","Helen Deutsch, Richard Morris (play)",Charles Walters,6.8
Onibaba,tt0058430,1964,0,0,Japan,"Two women kill samurai and sell their belongings for a living. While one of them is having an affair with their neighbor, the other woman meets a mysterious samurai wearing a bizarre mask.",Toho Company Ltd.,NOT RATED,"Drama, Horror",Kaneto Shindô,Kaneto Shindô,8.0
Code Name: Tiger,tt0058658,1964,3,1,"France, Italy","A Turkish ambassador arrives in Paris to sign an important trade agreement, allowing Turkey to buy a sophisticated new war plane from France. Immediately he is the target of an assassin, and a special agent is assigned to protect him.",N/A,N/A,Thriller,"Roger Hanin (original scenario), Jean Halain (adaptation)",Claude Chabrol,5.0
"Ghidorah, the Three-Headed Monster",tt0058544,1964,3,1,Japan,"After a meteorite unleashes a three-headed beast upon Tokyo, Mothra tries to unite with Godzilla and Rodan to battle the extraterrestrial threat.",N/A,NOT RATED,"Action, Adventure, Fantasy",Shin'ichi Sekizawa,Ishirô Honda,6.7
A Hard Day&#39;s Night,tt0058182,1964,1,0,UK,"A ""typical"" day in the life of The Beatles, including many of their famous songs.",Miramax,G,"Comedy, Music, Musical",Alun Owen (original screenplay),Richard Lester,7.7
Marnie,tt0058329,1964,3,1,USA,"Mark marries Marnie although she is a habitual thief and has serious psychological problems, and tries to help her confront and resolve them.",MCA Universal Home Video,PG,"Crime, Drama, Mystery, Romance, Thriller","Winston Graham (from the novel by), Jay Presson Allen (screenplay by)",Alfred Hitchcock,7.2
Dead Ringer,tt0057997,1964,3,1,USA,"The working-class twin sister of a callous, wealthy woman impulsively murders her out of revenge and assumes her identity. But impersonating her dead twin is more complicated and risky than she anticipated.",Warner Bros. Pictures,UNRATED,"Crime, Drama, Thriller","Albert Beich (screenplay by), Oscar Millard (screenplay by), Rian James (from a story by)",Paul Henreid,7.4
Carry On Cleo,tt0057918,1964,1,0,UK,"Two Britons are captured and enslaved by invading Romans and taken to Rome. Hengist Pod creates useless inventions, while Horsa is a brave and cunning fighter. One of their first encounters...",Governor Films Inc.,NOT RATED,"Comedy, History","Talbot Rothwell (original screenplay), William Shakespeare (original idea)",Gerald Thomas,6.8
King &amp; Country,tt0058263,1964,0,0,UK,"During World War I, an army private is accused of desertion during battle. The officer assigned to defend him at his court-martial finds out there is more to the case than meets the eye.",Allied Artists Pictures,NOT RATED,"Drama, War","Evan Jones (screenplay), John Wilson (from the stage play by), J.L. Hodson (story)",Joseph Losey,7.6
Viva Las Vegas,tt0058725,1964,0,0,USA,"Race car driver Lucky Jackson goes to Las Vegas to earn money to pay for a new engine for his motor car. Working as a waiter, he still finds the time to court young Rusty Martin.",MGM,APPROVED,"Comedy, Musical",Sally Benson,George Sidney,6.4
Der Geteilte Himmel (Divided Heaven),tt0058139,1964,2,0,East Germany,"After a breakdown, Rita returns to her childhood village. It is 1961. As she recovers, she remembers the past two years: her love for the chemist Manfred, ten years her senior; his ...",Deutsche Film (DEFA),N/A,"Drama, Romance","Kurt Barthel, Willi Brückner, Christa Wolf, Gerhard Wolf, Konrad Wolf",Konrad Wolf,6.5
Bedtime Story,tt0057878,1964,1,0,USA,"Two scam artists prey on women for their money. They clash in a Mediterranean hot spot. Will the cultured, high-class con artist come out on top, or will the rough small-change scammer rise to win the wager?",MCA Universal Home Video,N/A,Comedy,"Stanley Shapiro, Paul Henning",Ralph Levy,6.8
"Long Ships, The",tt0057259,1964,1,0,"UK, Yugoslavia","A vagabond Viking adventurer and a Moor both compete to find ""The Mother of All Voices"", a legendary golden bell near the Pillars of Hercules.",Sony Pictures Entertainment,NOT RATED,"Adventure, Drama, History","Berkely Mather (screenplay), Beverley Cross (screenplay), Frans G. Bengtsson (novel)",Jack Cardiff,6.1
"Chalk Garden, The",tt0057933,1964,3,1,"UK, USA","A grandmother seeks a governess for her 16 year old granddaughter, Laurel, who manages to drive away each and every one so far by exposing their past, with a record of three in one week! ...",MCA Universal Home Video,N/A,"Drama, Mystery","John Michael Hayes (screenplay), Enid Bagnold (from the play by)",Ronald Neame,7.6
Nikutai no mon [Gate of Flesh],tt0058409,1964,3,1,Japan,"An injured thief on the run finds sanctuary within a brothel of united, ruthless women.",Criterion Collection,NOT RATED,Drama,"Taijirô Tamura (novel), Gorô Tanada (screenplay)",Seijun Suzuki,7.6
A shot in the dark,tt0058586,1964,1,0,"UK, USA",Inspector Jacques Clouseau investigates the murder of Mr. Benjamin Ballon's driver at a country estate.,MGM Home Entertainment,PG,"Comedy, Mystery","Blake Edwards (screenplay), William Peter Blatty (screenplay), Harry Kurnitz (based upon the stage play by), Marcel Achard (from the play 'L'idiote')",Blake Edwards,7.5
Godzilla vs. The Thing (Mothra vs. Godzilla),tt0058379,1964,1,0,Japan,"A greedy developer unwittingly hatches a gigantic baby moth upon Tokyo, while Godzilla strikes once again.",Simitar,UNRATED,"Action, Adventure, Fantasy, Sci-Fi",Shin'ichi Sekizawa,Ishirô Honda,6.5
"Americanization of Emily, The",tt0057840,1964,2,0,USA,An American naval officer's talent for living the good life in wartime is challenged when he falls in love and is sent on a dangerous mission.,WARNER BROTHERS PICTURES,APPROVED,"Comedy, Drama, War","Paddy Chayefsky (screenplay), William Bradford Huie (novel)",Arthur Hiller,7.4
Marriage Italian Style,tt0058335,1964,3,1,"Italy, France","The rich man Domenico and Filumena, a penniless prostitute, share great part of their lives in the immediate post WWII Italy.",Kino Lorber,NOT RATED,"Comedy, Drama, Romance","Eduardo De Filippo (play), Renato Castellani (screenplay), Tonino Guerra (screenplay), Leonardo Benvenuti (screenplay), Piero De Bernardi (screenplay)",Vittorio De Sica,7.5
"Gospel According to St. Matthew, The",tt0058715,1964,1,0,"Italy, France",The life of Jesus Christ according to the Gospel of Matthew. Pasolini shows Christ as a Marxist avant-la-lettre and therefore uses half of the text of Matthew.,Water Bearer Films Inc.,NOT RATED,"Biography, Drama, History",Pier Paolo Pasolini,Pier Paolo Pasolini,7.9
Fail-Safe,tt0058083,1964,1,0,USA,"American planes are sent to deliver a nuclear attack on Moscow, but it's a mistake due to an electrical malfunction. Can all-out war be averted?",Sony Pictures Home Entertainment,NOT RATED,"Drama, Thriller","Walter Bernstein (screenplay), Eugene Burdick (from the novel by), Harvey Wheeler (from the novel by)",Sidney Lumet,8.0
"Last Man on Earth, The",tt0058700,1964,1,0,"Italy, USA","When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.",MGM,NOT RATED,"Horror, Sci-Fi","William F. Leicester (screenplay), Richard Matheson (screenplay), Richard Matheson (novel), Furio M. Monetti (screenplay), Ubaldo Ragona (screenplay)","Ubaldo Ragona, Sidney Salkow",6.9
Band of Outsiders,tt0057869,1964,3,1,France,Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.,Royal Films International,NOT RATED,"Comedy, Crime, Drama",Dolores Hitchens (novel),Jean-Luc Godard,7.8
Bikini Beach,tt0057887,1964,2,0,USA,"A millionaire sets out to prove his theory that his pet chimpanzee is as intelligent as the teenagers who hang out on the local beach, where he is intending to build a retirement home.",James H. Nicholson Productions,APPROVED,"Comedy, Musical, Romance","William Asher (screenplay), Leo Townsend (screenplay), Robert Dillon (screenplay)",William Asher,5.5
"Rudolph, the Red-Nosed Reindeer",tt0058536,1964,1,0,"USA, Japan",A misfit reindeer and his friends look for a place that will accept them.,Artisan Entertainment,TV-G,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Romeo Muller, Robert May (story), Johnny Marks (song)",Larry Roemer,8.1
First Men in the Moon,tt0058100,1964,1,0,UK,"When a spaceship lands on the moon, it is hailed as a new accomplishment, before it becomes clear that a Victorian party completed the journey in 1899, leading investigators to that mission's last survivor.",Sony Pictures Entertainment,APPROVED,"Adventure, Sci-Fi","Nigel Kneale (screenplay), Jan Read (screenplay), H.G. Wells (from the original story by)",Nathan Juran,6.7
Man&#39;s Favorite Sport?,tt0058324,1964,2,0,USA,"The author of a best-selling fishing guide is actually incredibly inexperienced when it comes to the sport, which causes mayhem when he is entered into a competition.",MCA Universal Home Video,APPROVED,"Comedy, Romance","Pat Frank (story ""The Girl Who Almost Got Away""), John Fenton Murray, Steve McNeil",Howard Hawks,7.2
Red Desert,tt0058003,1964,3,1,"Italy, France","In an industrial area, Giuliana, an unstable woman, attempts to cope with life by starting an affair with a co-worker at the plant her husband manages.",Janus Films,NOT RATED,Drama,"Michelangelo Antonioni, Tonino Guerra",Michelangelo Antonioni,7.7
"Time Travelers, The",tt0058659,1964,2,0,USA,"In 1964, a group of scientists create a portal that takes them to a barren, mutant inhabited, Earth in the year 2071.",American International Pictures (AIP),NOT RATED,Sci-Fi,"Ib Melchior (screenplay), Ib Melchior (story), David L. Hewitt (story)",Ib Melchior,5.2
La tia Tula,tt0058695,1964,3,1,Spain,The film is a picture of Tula a woman being single and repressed who believes that she has to help her brother-in-law Ramiro forgetting that she is a woman.,United International Pictures (UIP),N/A,Drama,"Luis S. Enciso, José Miguel Hernán, Manuel López Yubero, Miguel Picazo, Miguel de Unamuno (novel)",Miguel Picazo,7.8
Gulliver&#39;s Travels Beyond the Moon,tt0059212,1965,0,0,Japan,"A young boy meets the famous Lemuel Gulliver, who has just built a rocket ship that will take him exploring outer space. The boy joins him, and the two of them go to the Star of Hope, where...",N/A,N/A,"Animation, Adventure, Fantasy, Sci-Fi","Shin'ichi Sekizawa (screenplay), Jonathan Swift (novel)",Yoshio Kuroda,6.7
That Darn Cat!,tt0059793,1965,3,1,USA,"After a kidnapped bank teller uses a neighbor's wandering cat to send an SOS, the FBI assigns a cat-allergic agent to the case.",Walt Disney Productions,APPROVED,"Comedy, Crime, Family","Gordon Gordon (screenplay), Mildred Gordon (screenplay), Bill Walsh (screenplay), Gordon Gordon (book), Mildred Gordon (book)",Robert Stevenson,6.7
"Faster, Pussycat! Kill! Kill!",tt0059170,1965,3,1,USA,"Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.",Eve Productions,NOT RATED,"Action, Comedy","Jackie Moran (screenplay), Russ Meyer (original story)",Russ Meyer,6.8
"Sound of Music, The",tt0059742,1965,3,1,USA,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,20th Century-Fox,G,"Biography, Drama, Family, Musical, Romance","George Hurdalek (with the partial use of ideas by), Howard Lindsay (from the stage musical book by), Russel Crouse (from the stage musical book by), Ernest Lehman (screenplay)",Robert Wise,8.0
Viva Maria!,tt0059956,1965,3,1,"France, Italy","Somewhere in Central America in 1907: Maria II is the daughter of an Irish terrorist. After her father's death, she meets Maria I, a singer in a circus. She decides to stay with the circus,...",United Artists,NOT RATED,"Adventure, Comedy, Romance","Louis Malle (scenario and dialogue), Jean-Claude Carrière (scenario and dialogue)",Louis Malle,6.4
Daikaiju Gamera,tt0059080,1965,2,0,Japan,"From out of the arctic comes a gigantic flying, fire-breathing turtle that sets its sights on destroying Tokyo.",Mill Creek Entertainment,N/A,"Horror, Sci-Fi",Niisan Takahashi (screenplay),Noriaki Yuasa,4.6
Kapurush,tt0059348,1965,0,0,India,Calcutta based screenwriter Amitabha Roy is traveling to Hashimara in north Bengal partly to visit his brother-in-law and partly to do research for what will be his third film. En route ...,R.D.Banshal &amp; Co.,N/A,"Drama, Romance","Premendra Mitra (story ""Janaiko Kapurusher Kahini""), Satyajit Ray (screenplay)",Satyajit Ray,7.8
Devils of Darkness,tt0059100,1965,3,1,UK,"A secret vampire cult, which has its headquarters beneath the town cemetery, searches for victims for its human sacrifice rituals.",N/A,APPROVED,Horror,Lyn Fairhurst (original story and screenplay),Lance Comfort,4.8
Inside Daisy Clover,tt0059314,1965,3,1,USA,A tomboy turned movie star deals with the cruelty of Hollywood.,Warner Bros.,APPROVED,"Drama, Music, Romance","Gavin Lambert (novel), Gavin Lambert (screenplay)",Robert Mulligan,6.3
Juliet of the Spirits,tt0059229,1965,3,1,"Italy, France","Visions, memories, and mysticism all help a 40-something woman to find the strength to leave her cheating husband.",Criterion Collection,NOT RATED,"Comedy, Drama, Fantasy","Federico Fellini (story), Tullio Pinelli (story), Federico Fellini (screenplay), Tullio Pinelli (screenplay), Ennio Flaiano (screenplay), Brunello Rondi (screenplay)",Federico Fellini,7.7
"Pleasure Girls, The",tt0059607,1965,3,1,UK,"A beautiful young girl arrives in London to pursue a modeling career, and finds herself caught up in the whole ""swinging '60s"" scene.",N/A,N/A,Drama,Gerry O'Hara,Gerry O'Hara,5.9
Bunny Lake Is Missing,tt0058997,1965,3,1,UK,"A woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed.",Sony Pictures Entertainment,NOT RATED,"Mystery, Thriller","John Mortimer (screenplay), Penelope Mortimer (screenplay), Marryam Modell (novel)",Otto Preminger,7.3
Thunderball,tt0059800,1965,2,0,"UK, USA",James Bond heads to The Bahamas to recover two nuclear warheads stolen by SPECTRE agent Emilio Largo in an international extortion scheme.,United Artists,PG,"Action, Adventure, Thriller","Richard Maibaum (screenplay), John Hopkins (screenplay), Jack Whittingham (original screenplay), Kevin McClory (original story), Jack Whittingham (original story), Ian Fleming (original story)",Terence Young,7.0
For a Few Dollars More,tt0059578,1965,0,0,"Italy, Spain, West Germany",Two bounty hunters with the same intentions team up to track down a Western outlaw.,MGM Home Entertainment,R,Western,"Sergio Leone (scenario), Fulvio Morsella (scenario), Luciano Vincenzoni (screenplay), Sergio Leone (screenplay)",Sergio Leone,8.3
Repulsion,tt0059646,1965,3,1,UK,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Royal Films International,NOT RATED,"Drama, Horror, Thriller","Roman Polanski (original screenplay), Gérard Brach (original screenplay), David Stone (adaptation)",Roman Polanski,7.8
Frankenstein Conquers the World,tt0059205,1965,1,0,Japan,"During WWII, a human heart taken from a certain lab in Europe (Dr. Frankenstein's) is kept in a Japanese lab, when it gets exposed to the radiation of the bombing of Hiroshima. The heart ...",American International Picture,UNRATED,"Horror, Sci-Fi","Reuben Bercovitch (story), Takeshi Kimura (screenplay), Mary Shelley (novel), Jerry Sohl (synopsis)",Ishirô Honda,4.9
A Study in Terror,tt0059764,1965,3,1,UK,"Sherlock Holmes and Dr. Watson join the hunt for the notorious serial killer, Jack The Ripper.",Columbia Pictures,N/A,"Crime, Mystery, Thriller","Donald Ford (original story and screenplay), Derek Ford (original story and screenplay), Arthur Conan Doyle (characters created by)",James Hill,6.6
Alphaville,tt0058898,1965,1,0,"France, Italy",A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.,Rialto Pictures,NOT RATED,"Drama, Mystery, Sci-Fi, Thriller",Jean-Luc Godard,Jean-Luc Godard,7.2
