year,imdb,title,binary,budget,domgross,intgross,budget_2013$,domgross_2013$,intgross_2013$
2011,tt1270798,X-Men: First Class,PASS,160000000,146408305,355408305,165710526,151633733,368093107
2011,tt1625346,Young Adult,PASS,12000000,16311571,22750356,12428289,16893744,23562334
2011,tt1742336,Your Sister&#39;s Sister,PASS,120000,1597486,3090593,124283,1654502,3200899
2010,tt1542344,127 Hours,FAIL,18000000,18335230,60735230,19228173,19586277,64879307
2010,tt1014759,Alice in Wonderland,PASS,200000000,334191110,1024391110,213646368,356993585,1094287202
2010,tt1313092,Animal Kingdom,FAIL,4200000,1044039,8078683,4486574,1115276,8629906
2010,tt1431181,Another Year,PASS,8000000,3205706,18505706,8545855,3424437,19768384
2010,tt1423894,Barney&#39;s Version,PASS,30000000,7502560,8845575,32046955,8014473,9449125
2010,tt1532503,Beginners,FAIL,3200000,5790894,11564267,3418342,6186017,12353318
2010,tt1164999,Biutiful,FAIL,35000000,5101237,25101237,37388114,5449304,26813941
2010,tt0947798,Black Swan,PASS,13000000,106954678,331266710,13887014,114252393,353869648
2010,tt1120985,Blue Valentine,FAIL,1000000,9737892,16566240,1068232,10402326,17696585
2010,tt1126591,Burlesque,PASS,55000000,39440655,89657398,58752751,42131764,95774887
2010,tt1194417,Casino Jack,FAIL,12500000,2039869,2080869,13352898,2179053,2222851
2010,tt1020558,Centurion,FAIL,15000000,123570,6623570,16023478,132001,7075508
2010,tt1438254,Charlie St. Cloud,FAIL,44000000,31206263,48478084,47002201,33335524,51785833
2010,tt0800320,Clash of the Titans,FAIL,125000000,163214888,493214888,133528980,174351340,526867848
2010,tt1244754,Conviction,PASS,12500000,6797696,10133552,13352898,7261515,10824983
2010,tt1385867,Cop Out,FAIL,37000000,44875481,55909910,39524578,47937418,59724746
2010,tt1555064,Country Strong,PASS,15000000,20218921,20551476,16023478,21598495,21953741
2010,tt1336617,Cyrus,FAIL,7000000,7468936,10039886,7477623,7978555,10724926
2010,tt1279935,Date Night,PASS,55000000,98711404,152269033,58752751,105446665,162658630
2010,tt0989757,Dear John,FAIL,25000000,80014842,111362410,26705796,85474402,118960872
2010,tt1323594,Despicable Me,PASS,69000000,251513985,543495033,73707997,268675247,580578700
2010,tt1314655,Devil,PASS,10000000,33679655,63354114,10682318,35977680,67676882
2010,tt1196141,Diary of a Wimpy Kid,PASS,15000000,64003625,76954311,16023478,68370710,82205045
2010,tt0427152,Dinner for Schmucks,FAIL,69000000,73026337,86796502,73707997,78009058,92718787
2010,tt1270761,Don&#39;t Be Afraid of the Dark,PASS,25000000,24046682,31551048,26705796,25687431,33703834
2010,tt1231583,Due Date,FAIL,65000000,100539043,211739043,69435070,107399007,226186388
2010,tt1013860,Dylan Dog: Dead of Night,FAIL,20000000,1186538,6090697,21364637,1267498,6506276
2010,tt1282140,Easy A,PASS,8000000,58401464,76200721,8545855,62386303,81400037
2010,tt1226273,Edge of Darkness,FAIL,60000000,43313890,81208697,64093910,46269276,86749716
2010,tt1531663,Everything Must Go,FAIL,5000000,2712131,2712131,5341159,2897185,2897185
2010,tt0977855,Fair Game,PASS,50000000,11497497,26097497,53411592,12281992,27878177
2010,tt1433108,Faster,FAIL,12000000,23240020,35658648,12818782,24825729,38091703
2010,tt1405500,For Colored Girls,PASS,21000000,37729698,38017873,22432869,40304065,40611902
2010,tt1323045,Frozen,FAIL,150000000,393050114,1004550114,160234776,419868647,1073092418
2010,tt1226229,Get Him To The Greek,FAIL,40000000,61153526,91455875,42729274,65326144,97696078
2010,tt1322312,Going the Distance,PASS,32000000,17804299,39990165,34183419,19019119,42718768
2010,tt0947810,Green Zone,FAIL,100000000,35497337,97523020,106823184,37919386,104177195
2010,tt1375670,Grown Ups,PASS,75000000,162001186,272223430,80117388,173054825,290797736
2010,tt1376195,Gunless,FAIL,9900000,458054,458054,10575495,489308,489308
2010,tt0926084,Harry Potter and the Deathly Hallows: Part 1,PASS,125000000,295983305,956399711,133528980,316178791,1021656625
2010,tt1231587,Hot Tub Time Machine,FAIL,36000000,50269859,63209958,38456346,53699864,67522890
2010,tt0892769,How to Train Your Dragon,PASS,165000000,217581231,494870991,176258254,232427199,528636950
2010,tt1226236,I Am Love,PASS,10000000,5005465,15132211,10682318,5346997,16164710
2010,tt1375666,Inception,FAIL,160000000,292576195,832584416,170917095,312539208,889393184
2010,tt1591095,Insidious,PASS,1500000,54009150,99870886,1602348,57694294,106685260
2010,tt1228705,Iron Man 2,PASS,170000000,312433331,623561331,181599413,333751233,666108069
2010,tt0804497,It&#39;s Kind of a Funny Story,FAIL,8000000,6363628,6628326,8545855,6797830,7080589
2010,tt1250777,Kick-Ass,FAIL,28000000,48071303,97527535,29910492,51351297,104182018
2010,tt1013743,Knight and Day,FAIL,117000000,76423035,262142047,124983125,81637519,280028482
2010,tt1038686,Legion,PASS,26000000,40168080,68854097,27774028,42908822,73552139
2010,tt1228987,Let Me In,FAIL,20000000,12134935,28270399,21364637,12962924,30199340
2010,tt0892318,Letters to Juliet,FAIL,30000000,53032453,79135982,32046955,56650955,84535576
2010,tt0758752,Love and Other Drugs,FAIL,30000000,32367005,102719647,32046955,34575465,109728398
2010,tt0985694,Machete,PASS,12500000,26593646,44331957,13352898,28408179,47356808
2010,tt1371155,Made In Dagenham,PASS,8000000,1095369,15644196,8545855,1170108,16711628
2010,tt1518812,Meek&#39;s Cutoff,FAIL,2000000,977772,1869928,2136464,1044487,1997517
2010,tt1001526,Megamind,FAIL,130000000,148415853,321887208,138870139,158542540,343850165
2010,tt1470827,Monsters,FAIL,500000,237301,5639730,534116,253492,6024539
2010,tt1126618,Morning Glory,PASS,40000000,31011732,60040974,42729274,33127720,64137680
2010,tt1415283,Nanny McPhee and the Big Bang,PASS,35000000,29197642,97799865,37388114,31189851,104472930
2010,tt1334260,Never Let Me Go,PASS,15000000,2434652,11509512,16023478,2600773,12294827
2010,tt1536044,Paranormal Activity 2,PASS,3000000,84752907,177512032,3204696,90535754,189624005
2010,tt0814255,Percy Jackson &amp; the Olympians: The Lightning Thief,FAIL,95000000,88768303,226467130,101482025,94825128,241919399
2010,tt0878835,Please Give,PASS,3000000,4033574,4570178,3204696,4308792,4882010
2010,tt1424381,Predators,FAIL,40000000,52000688,127234389,42729274,55548791,135915826
2010,tt0473075,Prince of Persia: The Sands of Time,FAIL,200000000,90759676,335059676,213646368,96952376,357921415
2010,tt0935075,Rabbit Hole,PASS,5000000,2229058,5839592,5341159,2381151,6238038
2010,tt0493949,Ramona and Beezus,PASS,15000000,26167002,27469621,16023478,27952425,29343924
2010,tt1245526,Red,FAIL,60000000,90380162,196439693,64093910,96546967,209843135
2010,tt1403981,Remember Me,PASS,16000000,19068240,56506120,17091709,20369301,60361637
2010,tt1053424,Repo Men,PASS,32000000,13942007,18195238,34183419,14893296,19436733
2010,tt0955308,Robin Hood,FAIL,210000000,105487148,322459006,224328687,112684730,344460978
2010,tt0944835,Salt,PASS,130000000,118311368,295713467,138870139,126383971,315890541
2010,tt0446029,Scott Pilgrim vs. the World,PASS,85000000,31611316,48089760,90799707,33768214,51371013
2010,tt1028576,Secretariat,PASS,35000000,59699513,60376247,37388114,63772921,64495830
2010,tt1261945,Sex and the city 2,PASS,95000000,95347692,294680778,101482025,101853441,314787390
2010,tt0892791,Shrek Forever After,FAIL,165000000,238736787,756244673,176258254,255026238,807844640
2010,tt1130884,Shutter Island,FAIL,80000000,128012934,296831073,85458547,136747492,317084404
2010,tt1564585,Skyline,FAIL,10000000,21416355,78693371,10682318,22877632,84062765
2010,tt1421051,Somewhere,FAIL,7000000,1785645,14385645,7477623,1907483,15367204
2010,tt1440292,Submarine,FAIL,1900000,467602,4581937,2029641,499507,4894571
2010,tt1512235,Super,FAIL,2500000,327716,518362,2670580,350077,553731
2010,tt1135084,Takers,FAIL,32000000,57744720,70587268,34183419,61684749,75403567
2010,tt0398286,Tangled,PASS,260000000,200821936,586581936,277740279,214524387,626605502
2010,tt0429493,The A-Team,FAIL,110000000,77222099,177241171,117505503,82491105,189334662
2010,tt1212436,The Back-up Plan,PASS,35000000,37490007,75281179,37388114,40048019,80417752
2010,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,PASS,155000000,104386950,418186950,165575935,111509464,446720616
2010,tt0968264,The Conspirator,FAIL,25000000,11538204,15907411,26705796,12325477,16992803
2010,tt0455407,The Crazies,PASS,19000000,39123589,54956140,20296405,41793064,58705899
2010,tt1226753,The Debt,PASS,20000000,31177548,46604054,21364637,33304850,49783934
2010,tt1320253,The Expendables,FAIL,82000000,103068524,268268174,87595011,110101079,286572606
2010,tt0964517,The Fighter,FAIL,11000000,93617009,129262388,11750550,100004670,138082199
2010,tt1139328,The Ghost Writer,FAIL,45000000,15541549,65532491,48070433,16601978,70003894
2010,tt0775489,The Illusionist,FAIL,16500000,39868642,83792062,17625825,42588953,89509349
2010,tt1155076,The Karate Kid,FAIL,40000000,176591618,359091618,42729274,188640789,383593100
2010,tt0842926,The Kids Are All Right,PASS,4000000,20811365,36275469,4272927,22231363,38750611
2010,tt0954947,The Killer Inside Me,FAIL,13000000,217277,3617277,13887014,232102,3864090
2010,tt1504320,The King&#39;s Speech,PASS,15000000,138797449,430821166,16023478,148267855,460216888
2010,tt0938283,The Last Airbender,FAIL,150000000,131772187,319713881,160234776,140763246,341528548
2010,tt1320244,The Last Exorcism,PASS,1800000,41034350,70165900,1922817,43834199,74953449
2010,tt0480255,The Losers,FAIL,25000000,23591432,26714018,26705796,25201119,28536765
2010,tt1458175,The Next Three Days,PASS,30000000,21148651,67255916,32046955,22591662,71844911
2010,tt1386588,The Other Guys,FAIL,100000000,119219978,170936470,106823184,127354577,182599780
2010,tt1017451,The Runaways,PASS,9500000,3573673,5278632,10148202,3817511,5638803
2010,tt1285016,The Social Network,FAIL,40000000,96962694,224922135,42729274,103578637,240268986
2010,tt0963966,The Sorcerer&#39;s Apprentice,FAIL,160000000,63150991,215150991,170917095,67459899,229831139
2010,tt1273678,The Spy Next Door,PASS,28000000,24307106,50983364,29910492,25965625,54462053
2010,tt0889573,The Switch,FAIL,19000000,27758465,49858465,20296405,29652476,53260400
2010,tt1274300,The Tempest,PASS,20000000,277943,277943,21364637,296908,296908
2010,tt1243957,The Tourist,FAIL,100000000,67631157,278731369,106823184,72245755,297749724
2010,tt0840361,The Town,FAIL,37000000,92186262,152566881,39524578,98476300,162976800
2010,tt1325004,The Twilight Saga: Eclipse,PASS,68000000,300531751,699590681,72639765,321037586,747325041
2010,tt0780653,The Wolfman,FAIL,150000000,62189884,142634358,160234776,66433214,152366563
2010,tt1570989,Tiny Furniture,PASS,50000,391674,424149,53412,418399,453089
2010,tt0435761,Toy Story 3,FAIL,200000000,415004880,1063759456,213646368,443321427,1136341723
2010,tt1104001,Tron Legacy,FAIL,200000000,172062763,397562763,213646368,183802922,424689202
2010,tt1403865,True Grit,PASS,35000000,171243005,252276928,37388114,182927231,269490247
2010,tt1465522,Tucker and Dale vs Evil,PASS,5000000,223838,5476793,5341159,239111,5850485
2010,tt0477080,Unstoppable,FAIL,95000000,81562942,169511609,101482025,87128132,181077698
2010,tt0817230,Valentine&#39;s Day,PASS,52000000,110485654,217569328,55548056,118024294,232414484
2010,tt1027718,Wall Street: Money Never Sleeps,FAIL,70000000,52474616,137431619,74776229,56055056,146808831
2010,tt1183923,Welcome to the Rileys,PASS,10000000,152857,312857,10682318,163287,334204
2010,tt1235189,Wild Target,FAIL,8000000,109338,109338,8545855,116798,116798
2010,tt1399683,Winter&#39;s Bone,PASS,2000000,6531503,16131552,2136464,6977159,17232238
2010,tt1302067,Yogi Bear,FAIL,80000000,100246011,202284317,85458547,107085981,216086548
2010,tt1414382,You Again,PASS,20000000,25702053,32838945,21364637,27455751,35079607
2010,tt1182350,You Will Meet a Tall Dark Stranger,PASS,15000000,3247816,34247816,16023478,3469420,36584608
2009,tt1022603,(500) Days of Summer,FAIL,7500000,32391374,60803210,8142987,35168338,66015966
2009,tt0974661,17 Again,PASS,40000000,64167069,139474906,43429264,69668214,151432312
2009,tt1190080,2012,FAIL,200000000,166112167,788408539,217146319,180353228,856000062
2009,tt0472033,9,FAIL,30000000,31749894,48559999,32571948,34471863,52723125
2009,tt0971209,A Perfect Getaway,FAIL,14000000,15515460,22815460,15200242,16845625,24771466
2009,tt1019452,A Serious Man,FAIL,7000000,9228788,30360570,7600121,10019987,32963430
2009,tt1315981,A Single Man,FAIL,7000000,9176000,28142379,7600121,9962673,30555070
2009,tt1185836,Adam,FAIL,3200000,2277396,2828590,3474341,2472641,3071090
2009,tt1091722,Adventureland,FAIL,9800000,16044025,17144025,10640170,17419505,18613810
2009,tt1186830,Agora,FAIL,70000000,619423,38992292,76001212,672527,42335163
2009,tt1077262,Ajami,FAIL,1000000,621859,621859,1085732,675172,675172
2009,tt0881891,All About Steve,PASS,15000000,33862903,40127259,16285974,36766024,43567433
2009,tt1174732,An Education,PASS,7500000,12574914,29652736,8142987,13652981,32194912
2009,tt0808151,Angels &amp; Demons,FAIL,150000000,133375846,490875846,162859739,144810370,532959416
2009,tt0913354,Armored,FAIL,20000000,15988876,23661038,21714632,17359628,25689537
2009,tt0375568,Astro Boy,FAIL,65000000,19551067,44093014,70572554,21227211,47873178
2009,tt0499549,Avatar,FAIL,425000000,760507625,2783918982,461435929,825707158,3022588801
2009,tt1176740,Away We Go,PASS,21000000,9451946,10108016,22800364,10262276,10974592
2009,tt0889583,Br&uuml;no,FAIL,42000000,60054530,130788243,45600727,65203101,142000928
2009,tt0901476,Bride Wars,PASS,30000000,58715510,115150424,32571948,63749284,125022454
2009,tt0810784,Bright Star,PASS,8500000,4444637,17260680,9228719,4825683,18740466
2009,tt1210042,Brooklyn&#39;s Finest,FAIL,17000000,27163593,39233233,18457437,29492371,42596761
2009,tt0765010,Brothers,PASS,26000000,28544157,45043870,28229022,30991293,48905553
2009,tt1232207,Capitalism: A Love Story,FAIL,20000000,14363397,19121531,21714632,15594794,20760850
2009,tt0795351,Case 39,PASS,27000000,13261851,29302804,29314753,14398811,31814980
2009,tt1352824,Chloe,FAIL,13000000,3075255,9675172,14114511,3338902,10504640
2009,tt0844471,Cloudy with a Chance of Meatballs,FAIL,100000000,124870275,236827677,108573160,135575603,257131292
2009,tt1035736,Coco avant Chanel,PASS,23000000,6113834,50813834,24971827,6637983,55170185
2009,tt0327597,Coraline,PASS,60000000,75286229,126037057,65143896,81740638,136842415
2009,tt0433362,Daybreakers,FAIL,20000000,30101577,51401577,21714632,32682233,55808316
2009,tt1278340,Dead Snow,FAIL,800000,46742,2194020,868585,50749,2382117
2009,tt1136608,District 9,FAIL,30000000,115646235,215196627,32571948,125560771,233645777
2009,tt1127180,Drag Me to Hell,PASS,30000000,42100625,91388487,32571948,45709979,99223368
2009,tt1191111,Enter the Void,FAIL,16000000,337997,337997,17371706,366974,366974
2009,tt0780511,Everybody&#39;s Fine,FAIL,20000000,9208876,9208876,21714632,9998368,9998368
2009,tt0432283,Fantastic Mr. Fox,FAIL,40000000,21002919,46498922,43429264,22803533,50485349
2009,tt1013752,Fast &amp; Furious,FAIL,85000000,155064265,363064265,92287186,168358172,394190344
2009,tt1083456,Fired Up!,FAIL,20000000,17231291,18608570,21714632,18708557,20203912
2009,tt1232776,Fish Tank,PASS,3000000,374675,5922292,3257195,406796,6430020
2009,tt0758746,Friday the 13th,FAIL,17000000,65002019,91700771,18457437,70574746,99562425
2009,tt1201167,Funny People,FAIL,72500000,51855045,71880305,78715541,56300661,78042718
2009,tt0436339,G-Force,FAIL,150000000,119436770,287389685,162859739,129676275,312028062
2009,tt1046173,G.I. Joe: The Rise of Cobra,FAIL,175000000,150201498,302469017,190003029,163078512,328400169
2009,tt1034032,Gamer,FAIL,50000000,20534907,35062683,54286580,22295397,38068663
2009,tt1194263,Get Low,FAIL,7000000,9176933,9696933,7600121,9963686,10528267
2009,tt1289406,Harry Brown,FAIL,7300000,1818681,6294140,7925841,1974599,6833747
2009,tt0417741,Harry Potter and the Half-Blood Prince,PASS,250000000,301959197,934416487,271432899,327846641,1014525504
2009,tt1001508,He&#39;s Just Not That Into You,PASS,40000000,93953653,178390243,43429264,102008450,193683923
2009,tt1045772,I Love You Phillip Morris,FAIL,13000000,2037459,15144685,14114511,2212134,16443063
2009,tt1080016,Ice Age: Dawn of the Dinosaurs,FAIL,90000000,196573705,886968695,97715844,213426283,963009937
2009,tt0361748,Inglourious Basterds,FAIL,70000000,120831050,316971720,76001212,131190089,344146212
2009,tt1057500,Invictus,FAIL,49000000,37491364,124491364,53200848,40705558,135164207
2009,tt1230414,It&#39;s Complicated,PASS,85000000,112735375,224614744,92287186,122400359,243871325
2009,tt1131734,Jennifer&#39;s Body,PASS,16000000,16204793,32832166,17371706,17594056,35646920
2009,tt1135503,Julie &amp; Julia,PASS,40000000,94125426,126646119,43429264,102194949,137503693
2009,tt0448011,Knowing,FAIL,50000000,79957634,187858642,54286580,86812530,203964063
2009,tt1197624,Law Abiding Citizen,FAIL,53000000,73357727,131159781,57543775,79646802,142404318
2009,tt0808526,Life During Wartime,PASS,4500000,281447,281447,4885792,305576,305576
2009,tt1149361,Micmacs (Micmacs &agrave; tire-larigot),FAIL,42000000,1259693,11756922,45600727,1367688,12764862
2009,tt0892782,Monsters vs Aliens,FAIL,175000000,198351526,381687380,190003029,215356519,414410048
2009,tt1182345,Moon,FAIL,5000000,5010163,10676073,5428658,5439692,11591350
2009,tt1121977,Mother and Child,PASS,7000000,1110509,5010509,7600121,1205715,5440068
2009,tt1179891,My Bloody Valentine 3D,FAIL,14000000,51545952,102754998,15200242,55965069,111564348
2009,tt1078588,My Sister&#39;s Keeper,PASS,27500000,49200230,96673002,29857619,53418244,104960933
2009,tt0875034,Nine,FAIL,80000000,19676965,53508858,86858528,21363903,58096258
2009,tt1186367,Ninja Assassin,FAIL,50000000,38122883,61622883,54286580,41391219,66905911
2009,tt1266029,Nowhere Boy,FAIL,1900000,1445366,7785229,2062890,1569280,8452669
2009,tt1235796,Ondine,PASS,12000000,550472,550472,13028779,597665,597665
2009,tt1532957,Paa,FAIL,4300000,199228,9791282,4668646,216308,10630704
2009,tt1188729,Pandorum,FAIL,40000000,10330853,17033431,43429264,11216534,18493734
2009,tt1003034,Perrier&#39;s Bounty,FAIL,6600000,828,828,7165829,899,899
2009,tt0762125,Planet 51,FAIL,60000000,42194060,108996113,65143896,45811424,118340524
2009,tt0929632,Precious: Based on the Novel Push by Sapphire,PASS,10000000,47566524,68722848,10857316,51644478,74614567
2009,tt1152836,Public Enemies,FAIL,102500000,97104620,210379983,111287489,105429554,228416195
2009,tt0465580,Push,PASS,38000000,31811527,44411527,41257801,34538780,48218998
2009,tt0988045,Sherlock Holmes,FAIL,90000000,209028679,498438212,97715844,226949041,541170116
2009,tt1017460,Splice,PASS,30000000,17010170,22461001,32571948,18468479,24386618
2009,tt0796366,Star Trek,PASS,140000000,257730019,385680446,152002424,279825625,418745446
2009,tt0473705,State of Play,PASS,60000000,37017955,91445389,65143896,40191563,99285148
2009,tt0986263,Surrogates,FAIL,80000000,38577772,119668350,86858528,41885106,129927709
2009,tt0438488,Terminator Salvation,FAIL,200000000,125322469,371628539,217146319,136066564,403488847
2009,tt0878804,The Blind Side,FAIL,35000000,255959475,305705795,38000606,277903289,331914441
2009,tt1131729,The Boat That Rocked,FAIL,50000000,8017467,37472651,54286580,8704817,40685241
2009,tt1300851,The Boondock Saints II: All Saints Day,FAIL,8000000,10273187,10273187,8685853,11153924,11153924
2009,tt0362478,The Box,PASS,25000000,15051977,26341896,27143290,16342407,28600229
2009,tt0896923,The City of Your Final Destination,PASS,8300000,493296,1353296,9011572,535587,1469316
2009,tt1144884,The Final Destination,PASS,40000000,66477700,187384627,43429264,72176939,203449410
2009,tt1220198,The Fourth Kind,PASS,10000000,26218170,49486874,10857316,28465896,53729463
2009,tt1132620,The Girl with the Dragon Tattoo,FAIL,90000000,102515793,233170238,97715844,111304636,253160295
2009,tt1103982,The Girlfriend Experience,FAIL,1300000,695840,1005840,1411451,755495,1092072
2009,tt1247662,The Good Guy,PASS,10000000,100688,100688,10857316,109320,109320
2009,tt1119646,The Hangover,FAIL,35000000,277322503,469553471,38000606,301097804,509809040
2009,tt1054606,The Imaginarium of Doctor Parnassus,FAIL,30000000,7689607,64352607,32571948,8348849,69869659
2009,tt1130080,The Informant!,FAIL,22000000,33316821,41771168,23886095,36173125,45352277
2009,tt1058017,The Invention of Lying,FAIL,18500000,18451251,32679264,20086035,20033106,35480909
2009,tt0824758,The Last Station,PASS,18000000,6617867,15696146,19543169,7185227,17041802
2009,tt0380510,The Lovely Bones,PASS,95000000,44114232,94894448,103144502,47896216,103029901
2009,tt1234548,The Men Who Stare at Goats,FAIL,24000000,32428195,67348218,26057558,35208316,73122088
2009,tt0790712,The Messenger,FAIL,6500000,1109660,1409660,7057255,1204793,1530512
2009,tt0780521,The Princess and the Frog,PASS,105000000,104400899,270997378,114001818,113351355,294230416
2009,tt1041829,The Proposal,FAIL,40000000,163958031,314709717,43429264,178014415,341690283
2009,tt0898367,The Road,FAIL,25000000,8114270,27614270,27143290,8809919,29981685
2009,tt0485601,The Secret of Kells,FAIL,8000000,690290,2600916,8685853,749470,2823897
2009,tt0821642,The Soloist,FAIL,60000000,31720158,38454152,65143896,34439578,41750888
2009,tt1111422,The Taking of Pelham 123,FAIL,110000000,65452312,152364370,119430476,71063643,165426811
2009,tt0452694,The Time Traveler&#39;s Wife,FAIL,39000000,63414846,98666635,42343532,68851502,107125483
2009,tt1142988,The Ugly Truth,FAIL,38000000,88915214,205230042,41257801,96538057,222824741
2009,tt1139668,The Unborn,PASS,16000000,42670410,78208812,17371706,46328612,84913778
2009,tt0962736,The Young Victoria,PASS,35000000,11001272,31878891,38000606,11944429,34611919
2009,tt1055369,Transformers: Revenge of the Fallen,PASS,210000000,402111870,836519699,228003635,436585563,908235868
2009,tt1049413,Up,FAIL,175000000,293004164,731542621,190003029,318123879,794258938
2009,tt1193138,Up in the Air,FAIL,30000000,83823381,166842739,32571948,91009693,181146433
2009,tt0409459,Watchmen,FAIL,138000000,107509799,184068357,149830960,116726786,199848831
2009,tt1178663,Whatever Works,FAIL,15000000,5306706,35106706,16285974,5761658,38116460
2009,tt0386117,Where the Wild Things Are,FAIL,100000000,77233467,99123656,108573160,83854815,107621685
2009,tt1172233,Whip It,PASS,15000000,13043363,18856151,16285974,14161591,20472719
2009,tt0365929,Whiteout,PASS,35000000,10275638,12254746,38000606,11156585,13305365
2009,tt0458525,X-Men Origins: Wolverine,FAIL,150000000,179883157,374825760,162859739,195304827,406960171
2009,tt0403702,Youth in Revolt,FAIL,18000000,15285588,19685588,19543169,16596046,21373265
2009,tt1156398,Zombieland,PASS,23600000,75590286,102236596,25623266,82070762,111001503
2008,tt0478087,21,PASS,35000000,81159365,157852532,37878971,87835235,170836899
2008,tt0800308,Appaloosa,FAIL,20000000,20211394,27735474,21645126,21873909,30016892
2008,tt0455824,Australia,FAIL,130000000,49554002,215080810,140693320,53630131,232772564
2008,tt0871426,Baby Mama,PASS,30000000,60494212,64391484,32467689,65470243,69688090
2008,tt0799934,Be Kind Rewind,FAIL,20000000,11175164,30894247,21645126,12094392,33435494
2008,tt0960731,Bedtime Stories,PASS,80000000,110101975,218357961,86580505,119158557,236319281
2008,tt0861689,Blindness,PASS,25000000,3073392,20052958,27056408,3326198,21702440
2008,tt0397892,Bolt,PASS,150000000,114053759,313953759,162338447,123435400,339778437
2008,tt0887883,Burn After Reading,FAIL,37000000,60355347,163415735,40043484,65319955,176857711
2008,tt0824747,Changeling,PASS,55000000,35739802,113805580,59524097,38679626,123166807
2008,tt0892255,Che: Part One,FAIL,58000000,293708,30118557,62770866,317867,32595998
2008,tt0970411,City of Ember,PASS,38000000,7871693,11817059,41125740,8519189,12789087
2008,tt1060277,Cloverfield,PASS,25000000,80048433,170764033,27056408,86632922,184810452
2008,tt0452608,Death Race,FAIL,65000000,36316032,72516819,70346660,39303255,78481785
2008,tt1034303,Defiance,PASS,50000000,28644813,42268745,54112816,31001030,45745616
2008,tt0483607,Doomsday,PASS,33000000,11008770,21621188,35714458,11914311,23399667
2008,tt0918927,Doubt,PASS,20000000,33446470,50946957,21645126,36197653,55137666
2008,tt1059786,Eagle Eye,FAIL,80000000,101440743,178066569,86580505,109784884,192713668
2008,tt0808244,Easy Virtue,PASS,14000000,2656784,12656784,15151588,2875321,13697884
2008,tt1129423,Fireproof,FAIL,500000,33456317,33473297,541128,36208310,36226687
2008,tt0486321,Fly Me to the Moon,FAIL,25000000,14543943,57546746,27056408,15740274,62280329
2008,tt0800039,Forgetting Sarah Marshall,PASS,30000000,63172463,105173042,32467689,68368797,113824188
2008,tt0369436,Four Christmases,PASS,80000000,120146040,163546040,86580505,130028810,176998734
2008,tt0870111,Frost/Nixon,FAIL,29000000,18622031,28144586,31385433,20153811,30459656
2008,tt0978759,Frozen River,PASS,1000000,2511476,6030129,1082256,2718061,6526145
2008,tt0876563,Gake no ue no Ponyo,PASS,34000000,15090399,205312666,36796715,16331680,222200929
2008,tt0995039,Ghost Town,FAIL,20000000,13252641,26612350,21645126,14342754,28801384
2008,tt1205489,Gran Torino,FAIL,25000000,148095302,274543085,27056408,160277075,297125986
2008,tt1104733,Hamlet 2,PASS,9000000,4886216,4898285,9740307,5288138,5301200
2008,tt0448157,Hancock,FAIL,150000000,227946274,624346274,162338447,246696294,675702695
2008,tt1227929,Herb &amp; Dorothy,PASS,82500000,75986503,160388063,89286146,82236872,173580993
2008,tt0962726,High School Musical 3: Senior Year,PASS,11000000,90559416,274392880,11904819,98008500,296963426
2008,tt0465502,Igor,FAIL,30000000,19528602,31013349,32467689,21134953,33564393
2008,tt0780536,In Bruges,FAIL,15000000,7800825,34533783,16233845,8442492,37374405
2008,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,FAIL,185000000,317023851,786558145,200217418,343101064,851257517
2008,tt0494238,Inkheart,PASS,60000000,17303424,58051454,64935379,18726740,62826552
2008,tt0371746,Iron Man,FAIL,186000000,318604126,582443126,201299674,344811326,630352749
2008,tt0373051,Journey to the Center of the Earth,FAIL,45000000,101704370,240904370,48701534,110070196,260720275
2008,tt0489099,Jumper,FAIL,82500000,81168265,223113205,89286146,87844867,241465674
2008,tt0441773,Kung Fu Panda,FAIL,130000000,215434591,631910531,140693320,233155446,683889160
2008,tt1139797,L&aring;t den r&auml;tte komma in (Let the Right One In),FAIL,4500000,2122085,12247682,4870153,2296640,13255131
2008,tt0866439,Made of Honor,FAIL,40000000,46012734,106548738,43290252,49797572,115313044
2008,tt0467197,Max Payne,PASS,35000000,40687294,85761789,37878971,44034081,92816237
2008,tt0765476,Meet Dave,FAIL,60000000,11803254,50648806,64935379,12774146,54814990
2008,tt1013753,Milk,FAIL,20000000,31841299,57293371,21645126,34460447,62006112
2008,tt1046997,Miracle at St. Anna,FAIL,45000000,7916887,9110458,48701534,8568101,9859851
2008,tt0981227,Nick and Norah&#39;s Infinite Playlist,PASS,10000000,31487293,33544594,10822563,34077322,36303849
2008,tt0410377,Nim&#39;s Island,PASS,37000000,48006762,94081683,40043484,51955621,101820495
2008,tt0910936,Pineapple Express,FAIL,26000000,87341380,101549277,28138664,94525760,109902346
2008,tt1226681,Pontypool,FAIL,1500000,3865,31916,1623384,4183,34541
2008,tt0368563,Possession,PASS,25000000,10103647,14805812,27056408,10934736,16023683
2008,tt0926129,Prom Night,PASS,18000000,43869350,57109687,19480614,47477881,61807319
2008,tt0830515,Quantum of Solace,FAIL,230000000,169368427,591692078,248918952,183300049,640362486
2008,tt1082868,Quarantine,PASS,12000000,31691811,41291811,12987076,34298662,44688323
2008,tt1084950,Rachel Getting Married,PASS,12000000,12796861,13326864,12987076,13849484,14423083
