inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
247,1:good,1:good,,0.951,6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4
248,1:good,1:good,,0.938,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9
249,2:bad,2:bad,,0.993,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2
250,1:good,1:good,,0.857,6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6
251,1:good,1:good,,0.951,6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9
252,2:bad,2:bad,,0.75,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5
253,2:bad,1:good,+,0.951,5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4
254,1:good,1:good,,1,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5
255,2:bad,2:bad,,0.993,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1
256,2:bad,2:bad,,1,6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1
257,1:good,1:good,,1,5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6
258,1:good,1:good,,1,6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5
259,1:good,1:good,,1,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5
260,1:good,1:good,,0.667,6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9
261,2:bad,2:bad,,1,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5
262,2:bad,2:bad,,0.993,6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5
263,2:bad,2:bad,,1,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5
264,2:bad,2:bad,,1,7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3
265,2:bad,2:bad,,1,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5
266,2:bad,2:bad,,0.993,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7
267,2:bad,2:bad,,0.92,6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9
268,2:bad,2:bad,,0.993,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7
269,2:bad,2:bad,,0.97,7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6
270,2:bad,2:bad,,0.993,6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10
271,1:good,1:good,,1,7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6
272,2:bad,2:bad,,1,7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5
273,1:good,1:good,,0.951,7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4
274,2:bad,2:bad,,0.993,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2
275,2:bad,2:bad,,1,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5
276,2:bad,2:bad,,0.993,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2
277,2:bad,2:bad,,0.993,6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6
278,1:good,1:good,,0.951,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7
279,2:bad,2:bad,,0.993,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6
280,2:bad,2:bad,,0.993,5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10
281,2:bad,2:bad,,0.993,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6
282,2:bad,2:bad,,0.993,6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9
283,2:bad,2:bad,,0.993,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8
284,1:good,1:good,,0.833,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10
285,1:good,1:good,,0.833,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10
286,1:good,1:good,,1,7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3
287,2:bad,2:bad,,1,6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1
288,2:bad,2:bad,,1,7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7
289,2:bad,2:bad,,1,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8
290,2:bad,2:bad,,1,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8
291,2:bad,2:bad,,0.969,5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4
292,2:bad,2:bad,,0.969,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5
293,2:bad,2:bad,,0.92,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3
294,2:bad,2:bad,,0.97,7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1
295,2:bad,2:bad,,0.97,7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1
296,2:bad,2:bad,,1,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4
297,2:bad,2:bad,,1,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4
298,2:bad,2:bad,,0.993,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7
299,1:good,2:bad,+,0.683,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2
300,2:bad,2:bad,,0.993,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7
301,1:good,1:good,,0.9,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6
302,1:good,1:good,,0.857,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3
303,1:good,1:good,,0.951,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1
304,1:good,1:good,,0.9,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6
305,1:good,1:good,,0.951,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1
306,1:good,1:good,,0.857,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3
307,2:bad,2:bad,,0.993,8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4
308,2:bad,2:bad,,1,5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5
309,1:good,1:good,,1,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9
310,2:bad,2:bad,,0.993,5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1
311,1:good,2:bad,+,0.875,7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4
312,2:bad,2:bad,,0.993,6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1
313,2:bad,2:bad,,0.993,6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8
314,2:bad,2:bad,,0.993,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7
315,1:good,1:good,,0.974,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6
316,2:bad,2:bad,,0.97,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8
317,1:good,1:good,,0.951,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7
318,1:good,1:good,,0.6,7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7
319,1:good,1:good,,0.951,7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7
320,1:good,1:good,,0.974,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6
321,1:good,1:good,,0.951,6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3
322,2:bad,2:bad,,0.993,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7
323,2:bad,2:bad,,1,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4
324,1:good,1:good,,1,6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1
325,1:good,1:good,,1,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8
326,1:good,1:good,,1,6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8
327,2:bad,2:bad,,0.889,7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1
328,2:bad,2:bad,,0.993,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4
329,2:bad,2:bad,,1,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8
330,2:bad,2:bad,,1,6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8
331,1:good,1:good,,1,6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5
332,2:bad,2:bad,,0.993,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4
333,1:good,1:good,,1,5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5
334,1:good,1:good,,0.857,6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5
335,2:bad,2:bad,,1,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8
336,2:bad,2:bad,,1,6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8
337,2:bad,2:bad,,1,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6
338,2:bad,2:bad,,1,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6
339,2:bad,2:bad,,0.97,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5
340,1:good,1:good,,0.951,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4
341,2:bad,2:bad,,1,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8
342,2:bad,2:bad,,1,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7
343,2:bad,2:bad,,1,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7
344,2:bad,2:bad,,1,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8
345,1:good,1:good,,1,7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7
346,2:bad,2:bad,,0.97,6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9
347,2:bad,2:bad,,0.993,6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9
348,2:bad,2:bad,,0.969,7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4
349,2:bad,2:bad,,0.993,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3
350,1:good,1:good,,0.974,6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11
351,2:bad,2:bad,,0.993,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1
352,2:bad,2:bad,,1,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8
353,2:bad,2:bad,,1,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8
354,2:bad,2:bad,,0.993,6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5
355,1:good,2:bad,+,0.683,6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8
356,2:bad,2:bad,,0.993,7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2
357,2:bad,2:bad,,1,5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3
358,2:bad,2:bad,,1,5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3
359,1:good,1:good,,0.974,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11
360,2:bad,2:bad,,0.993,6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9
361,2:bad,2:bad,,0.92,6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5
362,2:bad,2:bad,,0.92,6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5
363,2:bad,2:bad,,0.993,6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9
364,2:bad,2:bad,,0.993,6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5
365,2:bad,2:bad,,0.993,6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10
366,1:good,1:good,,0.9,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1
367,1:good,1:good,,0.9,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1
368,1:good,1:good,,0.9,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1
369,1:good,1:good,,0.9,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1
370,1:good,1:good,,0.974,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4
371,2:bad,2:bad,,1,7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2
372,2:bad,2:bad,,1,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3
373,2:bad,2:bad,,0.993,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10
374,2:bad,2:bad,,0.993,7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4
375,1:good,1:good,,0.951,6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2
376,2:bad,2:bad,,0.971,7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2
377,2:bad,2:bad,,0.993,7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4
378,2:bad,2:bad,,0.993,7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5
379,2:bad,2:bad,,0.92,6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3
380,1:good,1:good,,0.951,7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5
381,2:bad,2:bad,,0.993,6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4
382,1:good,1:good,,0.962,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8
383,1:good,1:good,,0.962,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8
384,1:good,1:good,,0.962,5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8
385,2:bad,2:bad,,0.993,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10
386,2:bad,2:bad,,0.993,6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7
387,2:bad,2:bad,,0.993,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4
388,2:bad,1:good,+,0.857,8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2
389,2:bad,2:bad,,0.993,6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9
390,1:good,2:bad,+,0.683,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7
391,2:bad,2:bad,,0.993,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9
392,1:good,1:good,,0.971,6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8
393,2:bad,2:bad,,1,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1
394,2:bad,2:bad,,0.993,6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8
395,2:bad,2:bad,,0.993,5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8
396,2:bad,2:bad,,0.889,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5
397,2:bad,2:bad,,1,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5
398,2:bad,2:bad,,1,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5
399,2:bad,2:bad,,1,7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4
400,2:bad,2:bad,,0.993,8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7
401,1:good,1:good,,0.951,5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9
402,2:bad,2:bad,,0.993,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1
403,2:bad,2:bad,,0.75,8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9
404,2:bad,2:bad,,0.993,6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10
405,2:bad,2:bad,,0.993,6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2
406,2:bad,2:bad,,1,6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5
407,2:bad,2:bad,,0.993,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10
408,1:good,1:good,,0.971,6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5
409,2:bad,2:bad,,0.97,7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1
410,1:good,1:good,,0.971,6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5
411,1:good,1:good,,1,7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2
412,2:bad,2:bad,,0.993,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9
413,2:bad,2:bad,,0.971,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4
414,1:good,1:good,,0.951,6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4
415,1:good,1:good,,0.6,7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9
416,2:bad,2:bad,,1,6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2
417,1:good,1:good,,0.974,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7
418,2:bad,2:bad,,0.933,7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4
419,2:bad,2:bad,,0.683,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5
420,2:bad,2:bad,,0.993,6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4
421,1:good,2:bad,+,0.75,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1
422,2:bad,2:bad,,0.993,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2
423,2:bad,2:bad,,0.993,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2
424,1:good,1:good,,0.875,7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8
425,2:bad,2:bad,,0.969,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6
426,2:bad,2:bad,,0.993,5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4
427,2:bad,2:bad,,0.993,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10
428,2:bad,2:bad,,0.993,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1
429,1:good,1:good,,0.951,7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2
430,2:bad,2:bad,,1,5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5
431,1:good,1:good,,0.938,7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8
432,1:good,1:good,,0.938,7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8
433,2:bad,2:bad,,1,6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7
434,2:bad,2:bad,,0.993,6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2
435,1:good,1:good,,1,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3
436,1:good,1:good,,1,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3
437,1:good,1:good,,1,6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8
438,1:good,1:good,,0.938,6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3
439,1:good,1:good,,0.938,6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3
440,2:bad,2:bad,,1,6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4
441,1:good,1:good,,1,9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4
442,2:bad,2:bad,,1,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9
443,1:good,1:good,,0.974,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5
444,1:good,1:good,,0.974,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8
445,2:bad,2:bad,,0.969,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2
446,1:good,1:good,,0.974,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5
447,1:good,1:good,,0.974,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8
448,2:bad,2:bad,,1,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9
449,1:good,1:good,,1,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10
450,1:good,1:good,,0.962,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9
451,2:bad,2:bad,,0.993,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10
452,1:good,1:good,,0.962,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9
453,2:bad,2:bad,,0.993,7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3
454,2:bad,2:bad,,0.993,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9
455,1:good,1:good,,0.974,6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1
456,2:bad,2:bad,,0.993,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3
457,2:bad,2:bad,,0.993,6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3
458,1:good,2:bad,+,0.875,6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8
459,2:bad,2:bad,,0.993,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6
460,2:bad,2:bad,,0.993,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3
461,1:good,2:bad,+,0.971,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1
462,2:bad,2:bad,,0.993,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9
463,2:bad,2:bad,,0.969,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7
464,2:bad,2:bad,,0.993,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1
465,2:bad,2:bad,,0.993,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9
466,2:bad,2:bad,,0.993,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1
467,1:good,1:good,,0.951,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4
468,2:bad,2:bad,,1,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4
469,2:bad,2:bad,,0.969,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7
470,1:good,1:good,,0.951,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5
471,1:good,1:good,,1,7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9
472,1:good,1:good,,1,7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11
473,2:bad,2:bad,,1,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5
474,1:good,1:good,,0.951,7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8
475,1:good,1:good,,0.951,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8
476,1:good,1:good,,0.941,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9
477,1:good,1:good,,0.941,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9
478,1:good,1:good,,0.941,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9
479,1:good,1:good,,1,7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12
480,1:good,1:good,,1,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12
481,1:good,1:good,,0.974,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8
482,1:good,1:good,,0.974,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8
483,1:good,1:good,,0.971,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8
484,1:good,1:good,,0.857,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11
485,1:good,1:good,,0.857,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11
486,2:bad,2:bad,,0.875,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3
487,2:bad,2:bad,,1,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8
488,1:good,1:good,,0.974,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8
489,1:good,1:good,,0.971,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8
490,2:bad,2:bad,,1,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4
491,1:good,1:good,,0.938,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5
492,2:bad,2:bad,,0.993,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6
493,1:good,1:good,,0.938,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5
494,1:good,1:good,,0.971,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3
495,2:bad,2:bad,,1,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4
